"Fall 2025"
"Generated 2/27/2025, 2:04:38 PM"
,"CLSS ID","SIS ID","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Long Title","Section Type","Title/Topic","Meeting Pattern","Meetings","Instructor","Room","Status","Session","Campus","Inst. Method","Integ. Partner","Schedule Print","Consent","Credit Hrs Min","Credit Hrs","Grade Mode","Attributes","Course Attributes","Room Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Projected Enrollment","Wait Cap","Wait Total","Rm Cap Request","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Projected","Cross-list Wait Cap","Cross-list Wait Total","Cross-list Rm Cap Request","Link To","Comments","Notes#1","Notes#2"
"ACMP 1200 - HUMAN-CENTERED COMPUTING"
,"3540","14448","Fall 2025","1258","UNO-ITIN","ACMP","1200","ACMP 1200","001","HUMAN-CENTERED COMPUTING","","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Toh, Christine (37784191) [Primary Instructor, Post, Print]","Peter Kiewit Institute 269","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","University General Education: Social Science General Education course; MavEd: MavEd Social Science","University General Education: Social Science General Education course","","0","25","","","99","0","25","","","","","","","","","","",""
"ACMP 2000 - DATA ANALYSIS AND MACHINE LEARNING"
,"4209","16257","Fall 2025","1258","UNO-ITIN","ACMP","2000","ACMP 2000","001","DATA ANALYSIS AND MACHINE LEARNING","","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Ghersi, Dario (74961526) [Primary Instructor, Post, Print]","Peter Kiewit Institute 269","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","40","","","","","","","","","","",""
"ACMP 2100 - FUNDAMENTALS OF SOFTWARE AND HARDWARE CONSTRUCTION"
,"4210","16258","Fall 2025","1258","UNO-ITIN","ACMP","2100","ACMP 2100","001","FUNDAMENTALS OF SOFTWARE AND HARDWARE CONSTRUCTION","","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Wish, Ada-Rhodes (29973226) [Primary Instructor, Post, Print]","Peter Kiewit Institute 269","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","25","","","99","0","40","","","","","","","","","","",""
"ACMP 2220 - APPLIED IT INNOVATION"
,"3222","13576","Fall 2025","1258","UNO-ITIN","ACMP","2220","ACMP 2220","001","APPLIED IT INNOVATION","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Elson, Joel (14144622) [Primary Instructor, Post, Print]","Peter Kiewit Institute 269","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","20","","","99","0","20","","","","","","","","","","",""
"ACMP 2990 - IT INNOVATION SYMPOSIUM"
,"3547","13577","Fall 2025","1258","UNO-ITIN","ACMP","2990","ACMP 2990","001","IT INNOVATION SYMPOSIUM","","Seminar","","W 12pm-1pm","W 12pm-1pm","Toh, Christine (37784191) [Primary Instructor, Post, Print]","Peter Kiewit Institute 269","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Credit / No Credit","","","","0","20","","","99","0","20","","","","","","","","","","",""
"ACMP 4000 - SPECIAL TOPICS IN IT INNOVATION"
,"4527","16793","Fall 2025","1258","UNO-ITIN","ACMP","4000","ACMP 4000","001","SPECIAL TOPICS IN IT INNOVATION","","Seminar","INTRO TO AUTON. MOBILE ROBOTS","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Wish, Ada-Rhodes (29973226) [Primary Instructor, Post, Print]","Peter Kiewit Institute 260","Active","Regular Academic Session","UNO-IS","In Person","","Yes","Instructor Consent Required","3","3","Graded","","","","0","25","","","99","0","35","Also ISQA 4000-001, ISQA 8086-001, ACMP 8006-001","0","60","","198","0","70","","This is a special topics offering of the course:
Introduction To Autonomous Mobile Robots","",""
"ACMP 4500 - INDEPENDENT STUDIES"
,"3191","13579","Fall 2025","1258","UNO-ITIN","ACMP","4500","ACMP 4500","001","INDEPENDENT STUDIES","","Independent Study","","Does Not Meet","Does Not Meet","Cooper, Kate (35979329) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","Instructor Consent Required","1","3","Graded","Open Nebraska: No Cost Materials","","","0","20","","","99","0","20","","","","","","","","","","",""
"ACMP 4950 - INTERNSHIP IN APPLIED COMPUTING AND INFORMATICS"
,"3396","14067","Fall 2025","1258","UNO-ITIN","ACMP","4950","ACMP 4950","850","INTERNSHIP IN APPLIED COMPUTING AND INFORMATICS","","Internship","","Does Not Meet","Does Not Meet","Cooper, Kate (35979329) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","Department Consent Required","1","3","Credit / No Credit","Fully Online: Fully Online","","","0","30","","","99","0","30","","","","","","","","","","",""
"ACMP 8000 - TECHNOLOGY & INNOVATION STUDIO"
,"3670","14628","Fall 2025","1258","UNO-ITIN","ACMP","8000","ACMP 8000","001","TECHNOLOGY & INNOVATION STUDIO","","Studio","","TR 12pm-1:15pm","TR 12pm-1:15pm","Toh, Christine (37784191) [Primary Instructor, Post, Print]","Peter Kiewit Institute 269","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Satisfactory/Unsatisfactory","","","","0","20","","","99","0","20","","","","","","","","","","",""
"ACMP 8006 - SPECIAL TOPICS IN IT INNOVATION"
