
,"Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Section Type","Title/Topic","Meeting Pattern","Meetings","Instructor","Room","Status","Session","Campus","Inst. Method","Integ. Partner","Schedule Print","Consent","Credit Hrs Min","Credit Hrs","Grade Mode","Attributes","Course Attributes","Room Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Projected Enrollment","Wait Cap","Rm Cap Request","Cross-listings","Cross-list Maximum","Cross-list Projected","Cross-list Wait Cap","Cross-list Rm Cap Request","Link To","Comments","Notes#1"
"AREN 1010 - INTRODUCTION TO ARCHITECTURAL ENGINEERING"
,"Fall 2022","1228","UNO-AE","AREN","1010","AREN 1010","001","INTRODUCTION TO ARCHITECTURAL ENGINEERING","Lecture","","F 2:30pm-3:20pm","F 2:30pm-3:20pm","Ronsse, Lauren (48234522) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","40","40","","","0","56","","","","","","","PKI 252",""
,"Fall 2022","1228","UNO-AE","AREN","1010","AREN 1010","002","INTRODUCTION TO ARCHITECTURAL ENGINEERING","Lecture","","F 3:30pm-4:20pm","F 3:30pm-4:20pm","Ronsse, Lauren (48234522) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","42","45","","","0","56","","","","","","","PKI 252",""
"AREN 2030 - DESIGN AND SIMULATION STUDIO II"
,"Fall 2022","1228","UNO-AE","AREN","2030","AREN 2030","001","DESIGN AND SIMULATION STUDIO II","Lecture","","MW 9:10am-10:25am","MW 9:10am-10:25am","Fiscus, Tyson (89356062) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","21","20","","","0","20","","","","","","","PKI 248",""
,"Fall 2022","1228","UNO-AE","AREN","2030","AREN 2030","002","DESIGN AND SIMULATION STUDIO II","Lecture","","MW 4pm-5:15pm","MW 4pm-5:15pm","Portis, Andrew (15684348) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","25","25","","","0","25","","","","","","","PKI 248",""
"AREN 3200 - LIGHTING I: FUND FOR DESIGN"
,"Fall 2022","1228","UNO-AE","AREN","3200","AREN 3200","001","LIGHTING I: FUND FOR DESIGN","Lecture","","MW 12:30pm-1:20pm; F 8:30am-10:20am","F 8:30am-10:20am; MW 12:30pm-1:20pm","Eble, Michelle (96256018) [Primary Instructor, Post, Print]; Eble, Michelle (96256018) [Primary Instructor, Post, Print]","Peter Kiewit Institute 130","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","32","40","","","0","35","","","","","","","",""
"AREN 3300 - BUILDING ACOUSTICS FUNDAMENTALS"
,"Fall 2022","1228","UNO-AE","AREN","3300","AREN 3300","001","BUILDING ACOUSTICS FUNDAMENTALS","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Ryherd, Erica (62771820) [Primary Instructor, Post, Print]","Peter Kiewit Institute 274","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","34","36","","","0","36","","","","","","","PKI 263",""
"AREN 4120 - BUILDING ENERGY II: PRIMARY AND SECONDARY SYSTEMS"
,"Fall 2022","1228","UNO-AE","AREN","4120","AREN 4120","001","BUILDING ENERGY II: PRIMARY AND SECONDARY SYSTEMS","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Liu, Xiaoqi (81973916) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","21","24","","","0","24","Also AREN 8940-004","24","","0","24","","",""
"AREN 4200 - LIGHTING II: THEORY, DESIGN & APPLICATION"
,"Fall 2022","1228","UNO-AE","AREN","4200","AREN 4200","001","LIGHTING II: THEORY, DESIGN & APPLICATION","Lecture/Lab (combo)","","TRF 1:30pm-2:45pm","TRF 1:30pm-2:45pm","Tiller, Dale (21648874) [Primary Instructor, Post, Print]","Peter Kiewit Institute 130","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","15","30","","","0","38","Also AREN 8206-001","35","","0","35","","PKI 130",""
"AREN 4420 - HEALTHCARE DESIGN AND CONSTRUCTION"
,"Fall 2022","1228","UNO-AE","AREN","4420","AREN 4420","001","HEALTHCARE DESIGN AND CONSTRUCTION","Lecture","","M 4:30pm-7pm","M 4:30pm-7pm","Sawall, Ryan (30866046) [Primary Instructor, Post, Print]; Montgomery, Kristopher (86433933) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 256","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","12","18","","","0","18","Also AREN 8426-001, CNST 442-001","54","","0","54","","",""
"AREN 4940 - SPECIAL TOPICS IN ARCHITECTURAL ENGINEERING IV"
,"Fall 2022","1228","UNO-AE","AREN","4940","AREN 4940","001","SPECIAL TOPICS IN ARCHITECTURAL ENGINEERING IV","Lecture","","R 2:45pm-4pm","R 2:45pm-4pm; R 2:45pm-4pm","ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]; ALSaleem, Fadi (42419221) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248; Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Instructor Consent Required","3","3","Graded","","","","14","30","","","0","30","Also AREN 8600-001","48","","0","48","","",""
